Date : 2026-05-27 13:54:18
Directory : h:\C#\Projects\5e_App
Total : 67 files,  36142 codes, 755 comments, 5458 blanks, all 42355 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| h:\C#\Projects\5e_App\5e_App.slnx                                                                                                           | XML         |          4 |          0 |          1 |          5 |
| h:\C#\Projects\5e_App\Assets\FolderColor\Editor\CustomWindowFileImage.cs                                                                    | C#          |         55 |          0 |         14 |         69 |
| h:\C#\Projects\5e_App\Assets\FolderColor\Editor\ProjectAssetViewerCustomisation.cs                                                          | C#          |        101 |          7 |         22 |        130 |
| h:\C#\Projects\5e_App\Assets\FolderColor\SaveSetUp\FolderModificationData.json                                                              | JSON        |          1 |          0 |          0 |          1 |
| h:\C#\Projects\5e_App\Assets\Packages\MessagePack.3.1.4\MessagePack.nuspec                                                                  | XML         |         56 |          0 |          0 |         56 |
| h:\C#\Projects\5e_App\Assets\Packages\MessagePack.3.1.4\lib\netstandard2.1\MessagePack.xml                                                  | XML         |      5,126 |          0 |          7 |      5,133 |
| h:\C#\Projects\5e_App\Assets\Packages\MessagePack.Annotations.3.1.4\MessagePack.Annotations.nuspec                                          | XML         |         19 |          0 |          0 |         19 |
| h:\C#\Projects\5e_App\Assets\Packages\MessagePack.Annotations.3.1.4\lib\netstandard2.0\MessagePack.Annotations.xml                          | XML         |        717 |          0 |          3 |        720 |
| h:\C#\Projects\5e_App\Assets\Packages\MessagePackAnalyzer.3.1.4\MessagePackAnalyzer.nuspec                                                  | XML         |         17 |          0 |          0 |         17 |
| h:\C#\Projects\5e_App\Assets\Packages\Microsoft.NET.StringTools.17.11.4\Microsoft.NET.StringTools.nuspec                                    | XML         |         32 |          0 |          0 |         32 |
| h:\C#\Projects\5e_App\Assets\Packages\Microsoft.NET.StringTools.17.11.4\README.md                                                           | Markdown    |          3 |          0 |          3 |          6 |
| h:\C#\Projects\5e_App\Assets\Packages\Microsoft.NET.StringTools.17.11.4\lib\netstandard2.0\Microsoft.NET.StringTools.xml                    | XML         |        545 |          0 |          2 |        547 |
| h:\C#\Projects\5e_App\Assets\Packages\System.Collections.Immutable.8.0.0\PACKAGE.md                                                         | Markdown    |         47 |          5 |         21 |         73 |
| h:\C#\Projects\5e_App\Assets\Packages\System.Collections.Immutable.8.0.0\System.Collections.Immutable.nuspec                                | XML         |         34 |          0 |          1 |         35 |
| h:\C#\Projects\5e_App\Assets\Packages\System.Collections.Immutable.8.0.0\buildTransitive\net461\System.Collections.Immutable.targets        | XML         |          6 |          0 |          1 |          7 |
| h:\C#\Projects\5e_App\Assets\Packages\System.Collections.Immutable.8.0.0\buildTransitive\netcoreapp2.0\System.Collections.Immutable.targets | XML         |          6 |          0 |          1 |          7 |
| h:\C#\Projects\5e_App\Assets\Packages\System.Collections.Immutable.8.0.0\lib\netstandard2.0\System.Collections.Immutable.xml                | XML         |      6,049 |          0 |         51 |      6,100 |
| h:\C#\Projects\5e_App\Assets\Scripts\Characters\Ability.cs                                                                                  | C#          |         18 |          2 |          4 |         24 |
| h:\C#\Projects\5e_App\Assets\Scripts\Characters\AbilitySave.cs                                                                              | C#          |          4 |          0 |          3 |          7 |
| h:\C#\Projects\5e_App\Assets\Scripts\Characters\Character.cs                                                                                | C#          |         18 |          3 |         16 |         37 |
| h:\C#\Projects\5e_App\Assets\Scripts\Characters\Hero.cs                                                                                     | C#          |         38 |          0 |          7 |         45 |
| h:\C#\Projects\5e_App\Assets\Scripts\Characters\Skill.cs                                                                                    | C#          |         12 |          0 |          2 |         14 |
| h:\C#\Projects\5e_App\Assets\Scripts\GoogleIntegrator\GoogleIntegrator.cs                                                                   | C#          |        374 |        143 |         47 |        564 |
| h:\C#\Projects\5e_App\Assets\Scripts\GoogleIntegrator\GoogleIntegratorController.cs                                                         | C#          |         92 |          2 |         16 |        110 |
| h:\C#\Projects\5e_App\Assets\Scripts\GoogleIntegrator\GoogleSheetIntegrator.cs                                                              | C#          |        183 |         54 |         53 |        290 |
